occurrenceID	materialEntityID	organismID	siteID	eventID	parentEventID	eventDate	eventTime	eventRemarks	samplingProtocol	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	verbatimLatitude	verbatimLongitude	verbatimDepth	locality	higherGeographyID	scientificName	scientificNameID	scientificNameAuthorship	kingdom	phylum	class	order	family	genus	specificEpithet	identificationQualifier	verbatimIdentification	identifiedBy	identifiedByID	sex	preparations	recordedBy	recordedByID	sizeAmbitus	height	d13C	d15N	d34S	expedition
TANGO_1-SCUBA_2-S1_O11-35	35	S1_O11	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	58	37	-10.876762683494837	8.889550618282485	16.30031053350814	TANGO_1
TANGO_1-SCUBA_2-S1_O13-37	37	S1_O13	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	51	27	-11.730479067883211	9.173683497918041	16.87843649734105	TANGO_1
TANGO_1-SCUBA_2-S1_O15-39	39	S1_O15	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	male		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	42	23	-12.217324967497241	8.922155731995371	16.436540373048405	TANGO_1
TANGO_1-SCUBA_2-S1_O17-41	41	S1_O17	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	male		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	53	37	-12.55526457436395	8.965098657749994	17.184413279217104	TANGO_1
TANGO_1-SCUBA_2-S1_O18-42	42	S1_O18	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	male		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	52	33	-12.84706036302915	9.481714575363467	16.855398886795484	TANGO_1
TANGO_1-SCUBA_2-S1_O19-43	43	S1_O19	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	38	24	-12.064951056186908	8.743314232529986	17.420465328345287	TANGO_1
TANGO_1-SCUBA_2-S1_O20-44	44	S1_O20	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	46	29	-11.597632325228709	9.309981255706097	17.239019773202813	TANGO_1
TANGO_1-SCUBA_2-S1_O21-45	45	S1_O21	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	25	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	42	26	-12.535963981542599	9.467941339445783	17.17508943012412	TANGO_1
TANGO_1-SCUBA_8-S2_O1-369	369	S2_O1	2	SCUBA_8	https://www.wikidata.org/entity/Q119843670	2023-02-23T00:00:00Z	12:45:00Z/13:25:00Z	coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-65.9975	-65.7901	25	-65.9975	-65.7901	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	female		Martin Dogniez | Lea Katz	https://orcid.org/0000-0002-9708-1761 | https://orcid.org/0000-0001-5748-602X	40	24	-16.24242461756398	8.835336184714064	17.8533097366484	TANGO_1
TANGO_1-SCUBA_8-S2_O2-370	370	S2_O2	2	SCUBA_8	https://www.wikidata.org/entity/Q119843670	2023-02-23T00:00:00Z	12:45:00Z/13:25:00Z	coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-65.9975	-65.7901	25	-65.9975	-65.7901	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X	male		Martin Dogniez | Lea Katz	https://orcid.org/0000-0002-9708-1761 | https://orcid.org/0000-0001-5748-602X	39	21	-16.0233707800086	8.53962658860146	17.221268172448863	TANGO_1
