materialEntityID	organismID	siteID	eventID	parentEventID	eventDate	eventTime	eventRemarks	samplingProtocol	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	verbatimLatitude	verbatimLongitude	verbatimDepth	locality	higherGeographyID	scientificName	scientificNameID	scientificNameAuthorship	kingdom	phylum	class	order	family	genus	specificEpithet	identificationQualifier	verbatimIdentification	identifiedBy	identifiedByID	individualCount	organismQuantity	organismQuantityType	sex	preparations	recordedBy	recordedByID	expedition	occurrenceID	measurementType	measurementValue
27	S1_O3	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O3-27	sizeAmbitus	59
27	S1_O3	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O3-27	height	36
27	S1_O3	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O3-27	d13C	-12.232596083920498
27	S1_O3	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O3-27	d15N	9.813150837894684
27	S1_O3	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O3-27	d34S	15.587733040404018
28	S1_O4	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O4-28	sizeAmbitus	63
28	S1_O4	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O4-28	height	37
28	S1_O4	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O4-28	d13C	-11.475204248440752
28	S1_O4	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O4-28	d15N	9.4355042466521
28	S1_O4	1	SCUBA_2	https://www.wikidata.org/entity/Q119843670	2023-02-20T00:00:00Z	15:21:00Z/15:39:00Z	Sterechinus sampling | coordinateUncertaintyInMeters defaulted from gearType=Scuba Divers	Scuba Divers | https://doi.org/10.5281/zenodo.8013721 | Scientific SCUBA diving was used to conduct underwater observations and sampling as part of the site characterisation and sampling strategy. Divers operated in shallow coastal areas to document habitats and carry out sampling tasks.	13	13	-66.0003	-65.7774	-66.00026666666666	-65.77738333333333	13	Dodman Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=108535	Sterechinus neumayeri	urn:lsid:marinespecies.org:taxname:160831	(Meissner, 1900)	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinidae	Sterechinus	neumayeri		Sterechinus neumayeri	Camille Moreau | Bruno Danis | Lea Katz	https://orcid.org/0000-0002-0981-7442 | https://orcid.org/0000-0002-9037-7623 | https://orcid.org/0000-0001-5748-602X			individual	female		Lea Katz | Martin Dogniez	https://orcid.org/0000-0001-5748-602X | https://orcid.org/0000-0002-9708-1761	TANGO_1	TANGO_1-SCUBA_2-S1_O4-28	d34S	16.29097066481309
