occurrenceID,verbatimMeasurementType,measurementType,measurementValue,measurementUnit
TANGO_1-SCUBA_17-S4_O5-1952,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.41,per mille
TANGO_1-SCUBA_17-S4_O6-1953,sizeAmbitus,Size ambitus of sea urchin in mm,34,mm
TANGO_1-SCUBA_17-S4_O6-1953,height,Height of sea urchin in mm,20,mm
TANGO_1-SCUBA_17-S4_O6-1953,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.26,per mille
TANGO_1-SCUBA_17-S4_O6-1953,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.92,per mille
TANGO_1-SCUBA_17-S4_O6-1953,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.96,per mille
TANGO_1-SCUBA_17-S4_O7-1954,sizeAmbitus,Size ambitus of sea urchin in mm,38,mm
TANGO_1-SCUBA_17-S4_O7-1954,height,Height of sea urchin in mm,24,mm
TANGO_1-SCUBA_17-S4_O7-1954,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.5,per mille
TANGO_1-SCUBA_17-S4_O7-1954,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.34,per mille
TANGO_1-SCUBA_17-S4_O7-1954,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",15.05,per mille
TANGO_1-SCUBA_17-S4_O9-1956,sizeAmbitus,Size ambitus of sea urchin in mm,38,mm
TANGO_1-SCUBA_17-S4_O9-1956,height,Height of sea urchin in mm,23,mm
TANGO_1-SCUBA_17-S4_O9-1956,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.74,per mille
TANGO_1-SCUBA_17-S4_O9-1956,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.19,per mille
TANGO_1-SCUBA_17-S4_O9-1956,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.57,per mille
TANGO_1-SCUBA_17-S4_O10-1957,sizeAmbitus,Size ambitus of sea urchin in mm,38,mm
TANGO_1-SCUBA_17-S4_O10-1957,height,Height of sea urchin in mm,23,mm
TANGO_1-SCUBA_17-S4_O10-1957,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.49,per mille
TANGO_1-SCUBA_17-S4_O10-1957,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.3,per mille
TANGO_1-SCUBA_17-S4_O10-1957,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.72,per mille
TANGO_1-SCUBA_17-S4_O11-1958,sizeAmbitus,Size ambitus of sea urchin in mm,28,mm
TANGO_1-SCUBA_17-S4_O11-1958,height,Height of sea urchin in mm,18,mm
TANGO_1-SCUBA_17-S4_O11-1958,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.93,per mille
TANGO_1-SCUBA_17-S4_O11-1958,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.09,per mille
TANGO_1-SCUBA_17-S4_O11-1958,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",15.27,per mille
TANGO_1-SCUBA_17-S4_O12-1959,sizeAmbitus,Size ambitus of sea urchin in mm,29,mm
TANGO_1-SCUBA_17-S4_O12-1959,height,Height of sea urchin in mm,18,mm
TANGO_1-SCUBA_17-S4_O12-1959,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.55,per mille
TANGO_1-SCUBA_17-S4_O12-1959,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.82,per mille
TANGO_1-SCUBA_17-S4_O12-1959,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",15.04,per mille
TANGO_1-SCUBA_17-S4_O13-1960,sizeAmbitus,Size ambitus of sea urchin in mm,27,mm
TANGO_1-SCUBA_17-S4_O13-1960,height,Height of sea urchin in mm,17,mm
TANGO_1-SCUBA_17-S4_O13-1960,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.08,per mille
TANGO_1-SCUBA_17-S4_O13-1960,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.31,per mille
TANGO_1-SCUBA_17-S4_O13-1960,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.87,per mille
TANGO_1-SCUBA_17-S4_O14-1961,sizeAmbitus,Size ambitus of sea urchin in mm,32,mm
TANGO_1-SCUBA_17-S4_O14-1961,height,Height of sea urchin in mm,21,mm
TANGO_1-SCUBA_17-S4_O14-1961,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.47,per mille
TANGO_1-SCUBA_17-S4_O14-1961,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.51,per mille
TANGO_1-SCUBA_17-S4_O14-1961,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",13.82,per mille
TANGO_1-SCUBA_17-S4_O15-1962,sizeAmbitus,Size ambitus of sea urchin in mm,34,mm
TANGO_1-SCUBA_17-S4_O15-1962,height,Height of sea urchin in mm,20,mm
TANGO_1-SCUBA_17-S4_O15-1962,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.16,per mille
TANGO_1-SCUBA_17-S4_O15-1962,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.16,per mille
TANGO_1-SCUBA_17-S4_O15-1962,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.36,per mille
TANGO_1-SCUBA_17-S4_O16-1963,sizeAmbitus,Size ambitus of sea urchin in mm,44,mm
TANGO_1-SCUBA_17-S4_O16-1963,height,Height of sea urchin in mm,20,mm
TANGO_1-SCUBA_17-S4_O16-1963,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.55,per mille
TANGO_1-SCUBA_17-S4_O16-1963,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.14,per mille
TANGO_1-SCUBA_17-S4_O16-1963,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.4,per mille
TANGO_1-SCUBA_17-S4_O17-1964,sizeAmbitus,Size ambitus of sea urchin in mm,31,mm
TANGO_1-SCUBA_17-S4_O17-1964,height,Height of sea urchin in mm,20,mm
TANGO_1-SCUBA_17-S4_O17-1964,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.39,per mille
TANGO_1-SCUBA_17-S4_O17-1964,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.33,per mille
TANGO_1-SCUBA_17-S4_O17-1964,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.52,per mille
TANGO_1-SCUBA_17-S4_O18-1965,sizeAmbitus,Size ambitus of sea urchin in mm,31,mm
TANGO_1-SCUBA_17-S4_O18-1965,height,Height of sea urchin in mm,31,mm
TANGO_1-SCUBA_17-S4_O18-1965,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.08,per mille
TANGO_1-SCUBA_17-S4_O18-1965,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.68,per mille
TANGO_1-SCUBA_17-S4_O18-1965,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.2,per mille
TANGO_1-SCUBA_17-S4_O19-1966,sizeAmbitus,Size ambitus of sea urchin in mm,36,mm
TANGO_1-SCUBA_17-S4_O19-1966,height,Height of sea urchin in mm,23,mm
TANGO_1-SCUBA_17-S4_O19-1966,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.02,per mille
TANGO_1-SCUBA_17-S4_O19-1966,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.84,per mille
TANGO_1-SCUBA_17-S4_O19-1966,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",13.96,per mille
TANGO_1-SCUBA_17-S4_O20-1967,sizeAmbitus,Size ambitus of sea urchin in mm,30,mm
TANGO_1-SCUBA_17-S4_O20-1967,height,Height of sea urchin in mm,17,mm
TANGO_1-SCUBA_17-S4_O20-1967,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.87,per mille
TANGO_1-SCUBA_17-S4_O20-1967,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.78,per mille
TANGO_1-SCUBA_17-S4_O20-1967,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",15.06,per mille
TANGO_1-SCUBA_17-S4_O21-1968,sizeAmbitus,Size ambitus of sea urchin in mm,28,mm
TANGO_1-SCUBA_17-S4_O21-1968,height,Height of sea urchin in mm,16,mm
TANGO_1-SCUBA_17-S4_O21-1968,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.24,per mille
TANGO_1-SCUBA_17-S4_O21-1968,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.88,per mille
TANGO_1-SCUBA_17-S4_O21-1968,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.83,per mille
TANGO_1-SCUBA_22-S5_O1-2202,sizeAmbitus,Size ambitus of sea urchin in mm,33,mm
TANGO_1-SCUBA_22-S5_O1-2202,height,Height of sea urchin in mm,20,mm
TANGO_1-SCUBA_22-S5_O1-2202,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.76,per mille
TANGO_1-SCUBA_22-S5_O1-2202,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.97,per mille
TANGO_1-SCUBA_22-S5_O1-2202,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",15.55,per mille
TANGO_1-SCUBA_22-S5_O3-2204,sizeAmbitus,Size ambitus of sea urchin in mm,35,mm
TANGO_1-SCUBA_22-S5_O3-2204,height,Height of sea urchin in mm,19,mm
TANGO_1-SCUBA_22-S5_O3-2204,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.99,per mille
TANGO_1-SCUBA_22-S5_O3-2204,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.88,per mille
TANGO_1-SCUBA_22-S5_O3-2204,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.41,per mille
TANGO_1-SCUBA_22-S5_O4-2205,sizeAmbitus,Size ambitus of sea urchin in mm,32,mm
TANGO_1-SCUBA_22-S5_O4-2205,height,Height of sea urchin in mm,19,mm
TANGO_1-SCUBA_22-S5_O4-2205,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-14.91,per mille
TANGO_1-SCUBA_22-S5_O4-2205,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.47,per mille
TANGO_1-SCUBA_22-S5_O4-2205,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.72,per mille
TANGO_1-SCUBA_22-S5_O5-2206,sizeAmbitus,Size ambitus of sea urchin in mm,37,mm
TANGO_1-SCUBA_22-S5_O5-2206,height,Height of sea urchin in mm,22,mm
TANGO_1-SCUBA_22-S5_O5-2206,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.9,per mille
TANGO_1-SCUBA_22-S5_O5-2206,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.56,per mille
TANGO_1-SCUBA_22-S5_O5-2206,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.35,per mille
TANGO_1-SCUBA_22-S5_O6-2207,sizeAmbitus,Size ambitus of sea urchin in mm,34,mm
TANGO_1-SCUBA_22-S5_O6-2207,height,Height of sea urchin in mm,20,mm
TANGO_1-SCUBA_22-S5_O6-2207,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-11.64,per mille
TANGO_1-SCUBA_22-S5_O6-2207,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.99,per mille
TANGO_1-SCUBA_22-S5_O6-2207,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.08,per mille
TANGO_1-SCUBA_22-S5_O7-2208,sizeAmbitus,Size ambitus of sea urchin in mm,33,mm
TANGO_1-SCUBA_22-S5_O7-2208,height,Height of sea urchin in mm,18,mm
TANGO_1-SCUBA_22-S5_O7-2208,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.23,per mille
TANGO_1-SCUBA_22-S5_O7-2208,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.92,per mille
TANGO_1-SCUBA_22-S5_O7-2208,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.83,per mille
TANGO_1-SCUBA_22-S5_O9-2210,sizeAmbitus,Size ambitus of sea urchin in mm,29,mm
TANGO_1-SCUBA_22-S5_O9-2210,height,Height of sea urchin in mm,17,mm
TANGO_1-SCUBA_22-S5_O9-2210,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-14.16,per mille
TANGO_1-SCUBA_22-S5_O9-2210,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.09,per mille
TANGO_1-SCUBA_22-S5_O9-2210,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.14,per mille
TANGO_1-SCUBA_22-S5_O10-2211,sizeAmbitus,Size ambitus of sea urchin in mm,27,mm
TANGO_1-SCUBA_22-S5_O10-2211,height,Height of sea urchin in mm,18,mm
TANGO_1-SCUBA_22-S5_O10-2211,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-11.51,per mille
TANGO_1-SCUBA_22-S5_O10-2211,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.8,per mille
TANGO_1-SCUBA_22-S5_O10-2211,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.74,per mille
TANGO_1-SCUBA_22-S5_O11-2212,sizeAmbitus,Size ambitus of sea urchin in mm,30,mm
TANGO_1-SCUBA_22-S5_O11-2212,height,Height of sea urchin in mm,15,mm
TANGO_1-SCUBA_22-S5_O11-2212,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-11.45,per mille
TANGO_1-SCUBA_22-S5_O11-2212,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.31,per mille
TANGO_1-SCUBA_22-S5_O11-2212,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.1,per mille
TANGO_1-SCUBA_22-S5_O12-2213,sizeAmbitus,Size ambitus of sea urchin in mm,27,mm
TANGO_1-SCUBA_22-S5_O12-2213,height,Height of sea urchin in mm,15,mm
TANGO_1-SCUBA_22-S5_O12-2213,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.73,per mille
TANGO_1-SCUBA_22-S5_O12-2213,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.44,per mille
TANGO_1-SCUBA_22-S5_O12-2213,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.3,per mille
TANGO_1-SCUBA_22-S5_O13-2214,sizeAmbitus,Size ambitus of sea urchin in mm,42,mm
TANGO_1-SCUBA_22-S5_O13-2214,height,Height of sea urchin in mm,27,mm
TANGO_1-SCUBA_22-S5_O13-2214,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.52,per mille
TANGO_1-SCUBA_22-S5_O13-2214,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",10.77,per mille
TANGO_1-SCUBA_22-S5_O13-2214,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",18.05,per mille
TANGO_1-SCUBA_22-S5_O15-2216,sizeAmbitus,Size ambitus of sea urchin in mm,25,mm
TANGO_1-SCUBA_22-S5_O15-2216,height,Height of sea urchin in mm,14,mm
TANGO_1-SCUBA_22-S5_O15-2216,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.06,per mille
TANGO_1-SCUBA_22-S5_O15-2216,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.72,per mille
TANGO_1-SCUBA_22-S5_O15-2216,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",15.11,per mille
TANGO_1-SCUBA_19-S5_O16-2217,sizeAmbitus,Size ambitus of sea urchin in mm,35,mm
TANGO_1-SCUBA_19-S5_O16-2217,height,Height of sea urchin in mm,22,mm
TANGO_1-SCUBA_19-S5_O16-2217,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.21,per mille
TANGO_1-SCUBA_19-S5_O16-2217,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.21,per mille
TANGO_1-SCUBA_19-S5_O16-2217,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.28,per mille
TANGO_1-SCUBA_22-S5_O16-2217,sizeAmbitus,Size ambitus of sea urchin in mm,35,mm
TANGO_1-SCUBA_22-S5_O16-2217,height,Height of sea urchin in mm,22,mm
TANGO_1-SCUBA_22-S5_O16-2217,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.21,per mille
TANGO_1-SCUBA_22-S5_O16-2217,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.21,per mille
TANGO_1-SCUBA_22-S5_O16-2217,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.28,per mille
TANGO_1-SCUBA_19-S5_O17-2218,sizeAmbitus,Size ambitus of sea urchin in mm,27,mm
TANGO_1-SCUBA_19-S5_O17-2218,height,Height of sea urchin in mm,14,mm
TANGO_1-SCUBA_19-S5_O17-2218,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-14.12,per mille
TANGO_1-SCUBA_19-S5_O17-2218,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.01,per mille
TANGO_1-SCUBA_19-S5_O17-2218,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.2,per mille
TANGO_1-SCUBA_22-S5_O17-2218,sizeAmbitus,Size ambitus of sea urchin in mm,27,mm
TANGO_1-SCUBA_22-S5_O17-2218,height,Height of sea urchin in mm,14,mm
TANGO_1-SCUBA_22-S5_O17-2218,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-14.12,per mille
TANGO_1-SCUBA_22-S5_O17-2218,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.01,per mille
TANGO_1-SCUBA_22-S5_O17-2218,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",16.2,per mille
TANGO_1-SCUBA_22-S5_O18-2219,sizeAmbitus,Size ambitus of sea urchin in mm,27,mm
TANGO_1-SCUBA_22-S5_O18-2219,height,Height of sea urchin in mm,15,mm
TANGO_1-SCUBA_22-S5_O18-2219,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-13.81,per mille
TANGO_1-SCUBA_22-S5_O18-2219,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.02,per mille
TANGO_1-SCUBA_22-S5_O18-2219,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.06,per mille
TANGO_1-SCUBA_22-S5_O19-2220,sizeAmbitus,Size ambitus of sea urchin in mm,25,mm
TANGO_1-SCUBA_22-S5_O19-2220,height,Height of sea urchin in mm,16,mm
TANGO_1-SCUBA_22-S5_O19-2220,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-12.83,per mille
TANGO_1-SCUBA_22-S5_O19-2220,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.09,per mille
TANGO_1-SCUBA_22-S5_O19-2220,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",15.83,per mille
TANGO_1-SCUBA_19-S5_O20-2221,sizeAmbitus,Size ambitus of sea urchin in mm,25,mm
TANGO_1-SCUBA_19-S5_O20-2221,height,Height of sea urchin in mm,15,mm
TANGO_1-SCUBA_19-S5_O20-2221,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-14.48,per mille
TANGO_1-SCUBA_19-S5_O20-2221,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.36,per mille
TANGO_1-SCUBA_19-S5_O20-2221,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.52,per mille
TANGO_1-SCUBA_22-S5_O20-2221,sizeAmbitus,Size ambitus of sea urchin in mm,25,mm
TANGO_1-SCUBA_22-S5_O20-2221,height,Height of sea urchin in mm,15,mm
TANGO_1-SCUBA_22-S5_O20-2221,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-14.48,per mille
TANGO_1-SCUBA_22-S5_O20-2221,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",9.36,per mille
TANGO_1-SCUBA_22-S5_O20-2221,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",17.52,per mille
TANGO_1-SCUBA_19-S5_O21-2222,sizeAmbitus,Size ambitus of sea urchin in mm,23,mm
TANGO_1-SCUBA_19-S5_O21-2222,height,Height of sea urchin in mm,13,mm
TANGO_1-SCUBA_19-S5_O21-2222,d13C,"The δ13C measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Pee Dee Belemnite.",-14.31,per mille
TANGO_1-SCUBA_19-S5_O21-2222,d15N,"The δ15N measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Atmospheric Air.",8.52,per mille
TANGO_1-SCUBA_19-S5_O21-2222,d34S,"The δ34S measured in the Aristotle’s lantern muscles of the specimen, expressed in per mille and relative to the international reference Vienna Canyon Diablo Troilite.",14.89,per mille
TANGO_1-SCUBA_22-S5_O21-2222,sizeAmbitus,Size ambitus of sea urchin in mm,23,mm
